State,Facility Name,Facility ID (ORISPL),Unit ID,Caveat
"NY","Astoria Gas Turbine Power","55243","CT2-4A","Unit ID change from CT02-4 to CT2-4A",
"NY","Astoria Gas Turbine Power","55243","CT2-3A","Unit ID change from CT02-3 to CT2-3A",
"NY","Astoria Gas Turbine Power","55243","CT2-2A","Unit ID change from CT02-2 to CT2-2A",
"NY","Astoria Gas Turbine Power","55243","CT2-1A","Unit ID change from CT02-1 to CT2-1A",
"VT","Berlin 5","3734","A","Unit ID change from BERLIN to A",
"CA","Otay Mesa Energy Center, LLC","55345","CTG-2","Unit ID change from CTGZ2 to CTG-2",
"CA","Otay Mesa Energy Center, LLC","55345","CTGZ2","Unit ID change from 0CTGZ2 to CTGZ2",
"CA","Otay Mesa Energy Center, LLC","55345","CTG-1","Unit ID change from CTGZ1 to CTG-1",
"CA","Otay Mesa Energy Center, LLC","55345","CTGZ1","Unit ID change from 0CTGZ1 to CTGZ1",
"AR","Dell Power Plant","55340","2","Unit ID change from SN02 to 2",
"AR","Dell Power Plant","55340","1","Unit ID change from SN01 to 1",
"TX","Odessa-Ector Power Partners, LP","55215","GT4","Unit ID change from HRSG4 to GT4",
"TX","Odessa-Ector Power Partners, LP","55215","GT3","Unit ID change from HRSG3 to GT3",
"TX","Odessa-Ector Power Partners, LP","55215","GT2","Unit ID change from HRSG2 to GT2",
"TX","Odessa-Ector Power Partners, LP","55215","GT1","Unit ID change from HRSG1 to GT1",
"TX","Wolf Hollow I, LP","55139","AUXBLR","Unit ID change from AUX to AUXBLR",
"MN","Pleasant Valley Station","7843","13","Unit ID change from EU03 to 13",
"MN","Pleasant Valley Station","7843","12","Unit ID change from EU02 to 12",
"MN","Pleasant Valley Station","7843","11","Unit ID change from EU01 to 11",
"FL","Brandy Branch","7846","3","Unit ID change from 003 to 3",
"FL","Brandy Branch","7846","2","Unit ID change from 002 to 2",
"FL","Brandy Branch","7846","1","Unit ID change from 001 to 1",
"LA","Perryville Power Station","55620","2-1","Unit ID change from CT3 to 2-1",
"LA","Perryville Power Station","55620","1-2","Unit ID change from CT2 to 1-2",
"LA","Perryville Power Station","55620","1-1","Unit ID change from CT1 to 1-1",
"CA","Roseville Energy Park","56298","CT002","Unit ID change from 2 to CT002",
"CA","Roseville Energy Park","56298","CT001","Unit ID change from 1 to CT001",
"MN","Cannon Falls Energy Center","56241","CT-02","Unit ID change from 2 to CT-02",
"MN","Cannon Falls Energy Center","56241","CT-01","Unit ID change from 1 to CT-01",
"AZ","APS West Phoenix Power Plant","117","CC5A","Unit ID change from CC5 to CC5A",
"FL","Bayboro","627","3A","Unit ID change from P3 to 3A",
"FL","Bayboro","627","4A","Unit ID change from P4 to 4A",
"FL","Bayboro","627","2A","Unit ID change from P2 to 2A",
"FL","Bayboro","627","1A","Unit ID change from P1 to 1A",
"IA","Summit Lake","1206","1G","Unit ID change from GT1 to 1G",
"IL","LSP University Park, LLC","55640","CT09","Unit ID change from 9 to CT09",
"IL","LSP University Park, LLC","55640","CT08","Unit ID change from 8 to CT08",
"IL","LSP University Park, LLC","55640","CT07","Unit ID change from 7 to CT07",
"IL","LSP University Park, LLC","55640","CT06","Unit ID change from 6 to CT06",
"IL","LSP University Park, LLC","55640","CT05","Unit ID change from 5 to CT05",
"IL","LSP University Park, LLC","55640","CT04","Unit ID change from 4 to CT04",
"IL","LSP University Park, LLC","55640","CT03","Unit ID change from 3 to CT03",
"IL","LSP University Park, LLC","55640","CT02","Unit ID change from 2 to CT02",
"IL","LSP University Park, LLC","55640","CT12","Unit ID change from 12 to CT12",
"IL","LSP University Park, LLC","55640","CT11","Unit ID change from 11 to CT11",
"IL","LSP University Park, LLC","55640","CT10","Unit ID change from 10 to CT10",
"IL","LSP University Park, LLC","55640","CT01","Unit ID change from 1 to CT01",
"NV","Chuck Lenzie Generating Station","55322","CTG-4","Unit ID change from CTG4 to CTG-4",
"NV","Chuck Lenzie Generating Station","55322","CTG-3","Unit ID change from CTG3 to CTG-3",
"NV","Chuck Lenzie Generating Station","55322","CTG-2","Unit ID change from CTG2 to CTG-2",
"NV","Chuck Lenzie Generating Station","55322","CTG-1","Unit ID change from CTG1 to CTG-1",
"SC","BP Amoco Chemical Company CR Plant","880092","B","Unit ID change from 02 to B",
"SC","BP Amoco Chemical Company CR Plant","880092","A","Unit ID change from 01 to A",
"FL","Northside","667","GT6","Unit ID change from 6 to GT6",
"FL","Northside","667","GT5","Unit ID change from 5 to GT5",
"FL","Northside","667","GT4","Unit ID change from 4 to GT4",
"CA","Moss Landing","260","4A","Unit ID change from 2B to 4A",
"CA","Moss Landing","260","3A","Unit ID change from 1B to 3A",
"AZ","Mesquite Generating Station","55481","6","Unit ID change from 4 to 6",
"AZ","Mesquite Generating Station","55481","5","Unit ID change from 3 to 5",
"AR","Magnet Cove Generating Station","55714","SN-02","Unit ID change from GT-2 to SN-02",
"AR","Magnet Cove Generating Station","55714","SN-01","Unit ID change from GT-1 to SN-01",
"IL","Kendall Energy Facility","55131","GTG-4","Unit ID change from 4 to GTG-4",
"IL","Kendall Energy Facility","55131","GTG-3","Unit ID change from 3 to GTG-3",
"IL","Kendall Energy Facility","55131","GTG-2","Unit ID change from 2 to GTG-2",
"IL","Kendall Energy Facility","55131","GTG-1","Unit ID change from 1 to GTG-1",
"DC","GSA Central Heating","880004","6","Unit ID change from 000006 to 6",
"DC","GSA Central Heating","880004","5","Unit ID change from 000005 to 5",
"DC","GSA Central Heating","880004","4","Unit ID change from 000004 to 4",
"DC","GSA Central Heating","880004","3","Unit ID change from 000003 to 3",
"DC","GSA Central Heating","880004","2","Unit ID change from 000002 to 2",
"DC","GSA Central Heating","880004","1","Unit ID change from 000001 to 1",
"IN","Connersville Peaking Station","1002","2A","Unit ID change from CT2 to 2A",
"IN","Connersville Peaking Station","1002","1A","Unit ID change from CT1 to 1A",
"VA","GP Big Island, LLC","50479","6","Unit ID change from B006 to 6",
"VA","GP Big Island, LLC","50479","4","Unit ID change from B004 to 4",
"VA","Marsh Run Generation Facility","7836","EU4","Unit ID change from 4 to EU4",
"VA","Marsh Run Generation Facility","7836","EU3","Unit ID change from 3 to EU3",
"VA","Marsh Run Generation Facility","7836","EU2","Unit ID change from 2 to EU2",
"VA","Marsh Run Generation Facility","7836","EU1","Unit ID change from 1 to EU1",
"MT","Hardin Generating Station","55749","U1","Unit ID change from 1 to U1",
"TX","Sam Bertron","3468","SRBG1","Unit ID change from GT1 to SRBG1",
"NE","Rokeby","6373","BS1","Unit ID change from 000BS1 to BS1",
"NY","Hawkeye Energy Greenport, LLC","55969","U-01","Unit ID change from TURB1 to U-01",
"AL","Decatur Energy Center","55292","CTG-3","Unit ID change from CT3 to CTG-3",
"AL","Decatur Energy Center","55292","CTG-2","Unit ID change from CT2 to CTG-2",
"AL","Decatur Energy Center","55292","CTG-1","Unit ID change from CT1 to CTG-1",
"AL","Morgan Energy Center","55293","CT-3","Unit ID change from CT3 to CT-3",
"AL","Morgan Energy Center","55293","CT-2","Unit ID change from CT2 to CT-2",
"AL","Morgan Energy Center","55293","CT-1","Unit ID change from CT1 to CT-1",
"IL","Aurora","55279","AGS09","Unit ID change from AGS9 to AGS09",
"IL","Aurora","55279","AGS08","Unit ID change from AGS8 to AGS08",
"IL","Aurora","55279","AGS07","Unit ID change from AGS7 to AGS07",
"IL","Aurora","55279","AGS06","Unit ID change from AGS6 to AGS06",
"IL","Aurora","55279","AGS05","Unit ID change from AGS5 to AGS05",
"IL","Aurora","55279","AGS04","Unit ID change from AGS4 to AGS04",
"IL","Aurora","55279","AGS03","Unit ID change from AGS3 to AGS03",
"IL","Aurora","55279","AGS02","Unit ID change from AGS2 to AGS02",
"IL","Aurora","55279","AGS01","Unit ID change from AGS1 to AGS01",
"CA","Carson Cogeneration Company","10169","D1","Unit ID change from 1 to D1",
"MA","Fore River Energy Center","55317","12","Unit ID change from 02 to 12",
"MA","Fore River Energy Center","55317","11","Unit ID change from 01 to 11",
"CO","Rawhide Energy Station","6761","D","Unit ID change from Unit D to D",
"MN","Blue Lake Generating Plant","8027","8","Unit ID change from 6 to 8",
"MN","Blue Lake Generating Plant","8027","7","Unit ID change from 5 to 7",
"TX","Brazos Valley Energy, LP","55357","CTG2","Unit ID change from CTG002 to CTG2",
"TX","Brazos Valley Energy, LP","55357","CTG1","Unit ID change from CTG001 to CTG1",
"TX","Brazos Valley Energy, LP","55357","CTG4","Unit ID change from DB002 to CTG4",
"TX","Brazos Valley Energy, LP","55357","DB002","Unit ID change from 0DB002 to DB002",
"TX","Brazos Valley Energy, LP","55357","CTG3","Unit ID change from DB001 to CTG3",
"TX","Brazos Valley Energy, LP","55357","DB001","Unit ID change from 0DB001 to DB001",
"ID","Bennett Mountain Power Project","55733","CT01","Unit ID change from 01 to CT01",
"MS","Red Hills Generation Facility","55076","AA004","Unit ID change from AA-004 to AA004",
"MS","Red Hills Generation Facility","55076","AA003","Unit ID change from AA-003 to AA003",
"MS","Red Hills Generation Facility","55076","AA002","Unit ID change from AA-002 to AA002",
"MS","Red Hills Generation Facility","55076","AA001","Unit ID change from AA-001 to AA001",
"FL","Quantum Pasco Power, LP","54424","EU002","Unit ID change from 002 to EU002",
"FL","Quantum Pasco Power, LP","54424","EU001","Unit ID change from 001 to EU001",
"IN","Wheatland Generating Facility LLC","55224","EU-04","Unit ID change from CTG-4 to EU-04",
"IN","Wheatland Generating Facility LLC","55224","EU-03","Unit ID change from CTG-3 to EU-03",
"IN","Wheatland Generating Facility LLC","55224","EU-02","Unit ID change from CTG-2 to EU-02",
"IN","Wheatland Generating Facility LLC","55224","EU-01","Unit ID change from CTG-1 to EU-01",
"AR","Fulton","7825","CT1","Unit ID change from 1 to CT1",
"NY","Bethpage Energy Center","50292","GT3","Unit ID change from 3 to GT3",
"MS","Moselle Generating Plant","2070","5","Unit ID change from **5 to 5",
"LA","Plaquemine Cogen Facility","55419","600","Unit ID change from GT-600 to 600",
"LA","Plaquemine Cogen Facility","55419","500","Unit ID change from GT-500 to 500",
"LA","Plaquemine Cogen Facility","55419","800","Unit ID change from GT-800 to 800",
"LA","Plaquemine Cogen Facility","55419","700","Unit ID change from GT-700 to 700",
"MO","Chillicothe","2122","GT2A","Unit ID change from GT2 to GT2A",
"MO","Chillicothe","2122","GT1A","Unit ID change from GT1 to GT1A",
"KY","Wickliffe Paper Company","880065","02","Unit ID change from 2 to 02",
"KY","Wickliffe Paper Company","880065","01","Unit ID change from 1 to 01",
"NY","S A Carlson","2682","20","Unit ID change from 7 to 20",
"NY","S A Carlson","2682","7","Unit ID change from 20 to 7",
"CA","Riverside Energy Resource Center","56143","2","Unit ID change from UNIT2 to 2",
"CA","Riverside Energy Resource Center","56143","1","Unit ID change from UNIT1 to 1",
"OH","Dresden Energy Facility","55350","1B","Unit ID change from 2 to 1B",
"OH","Dresden Energy Facility","55350","1A","Unit ID change from 1 to 1A",
"NC","University of NC Chapel Hill","54276","ES003","Unit ID change from 8 to ES003",
"NC","University of NC Chapel Hill","54276","ES002","Unit ID change from 7 to ES002",
"NC","University of NC Chapel Hill","54276","ES001","Unit ID change from 6 to ES001",
"NY","KIAC Cogeneration","54114","03","Unit ID change from 3 to 03",
"MS","Ackerman Combined Cycle","55694","AA-002","Unit ID change from CT-2 to AA-002",
"MS","Ackerman Combined Cycle","55694","AA-001","Unit ID change from CT-1 to AA-001",
"PA","Veolia Energy Philadelphia - Schuylkill ","50607","RSB2","Unit ID change from 2 to RSB2",
"PA","Veolia Energy Philadelphia - Schuylkill ","50607","RSB1","Unit ID change from 1 to RSB1",
"NY","Selkirk Cogen Partners","10725","CTG301","Unit ID change from 00003 to CTG301",
"NY","Selkirk Cogen Partners","10725","CTG201","Unit ID change from 00002 to CTG201",
"NY","Selkirk Cogen Partners","10725","CTG101","Unit ID change from 00001 to CTG101",
"NY","Empire Generating Company LLC","56259","CT-2","Unit ID change from 2 to CT-2",
"NY","Empire Generating Company LLC","56259","CT-1","Unit ID change from 1 to CT-1",
"WV","Morgantown Energy Facility","10743","CFB2","Unit ID change from 2 to CFB2",
"WV","Morgantown Energy Facility","10743","CFB1","Unit ID change from 1 to CFB1",
"VA","International Paper-Franklin Mill","52152","003","Unit ID change from 3 to 003",
"VA","International Paper-Franklin Mill","52152","029","Unit ID change from 29 to 029",
"VA","International Paper-Franklin Mill","52152","017","Unit ID change from 17 to 017",
"NY","Poletti 500 MW CC","56196","CTG7A","Unit ID change from 1 to CTG7A",
"MN","Cambridge Station","2038","2","Unit ID change from 002 to 2",
"NC","KapStone Paper and Packaging Corp","50254","001","Unit ID change from 1 to 001",
"FL","Lauderdale","613","GFL09","Unit ID change from GFL9 to GFL09",
"FL","Lauderdale","613","GFL08","Unit ID change from GFL8 to GFL08",
"FL","Lauderdale","613","GFL07","Unit ID change from GFL7 to GFL07",
"FL","Lauderdale","613","GFL06","Unit ID change from GFL6 to GFL06",
"FL","Lauderdale","613","GFL05","Unit ID change from GFL5 to GFL05",
"FL","Lauderdale","613","GFL04","Unit ID change from GFL4 to GFL04",
"FL","Lauderdale","613","GFL03","Unit ID change from GFL3 to GFL03",
"FL","Lauderdale","613","GFL02","Unit ID change from GFL2 to GFL02",
"NC","Butler-Warner Generation Plant","1016","GT-3","Unit ID change from GT3 to GT-3",
"NC","Butler-Warner Generation Plant","1016","GT3","Unit ID change from 3 to GT3",
"NC","Butler-Warner Generation Plant","1016","GT-2","Unit ID change from GT2 to GT-2",
"NC","Butler-Warner Generation Plant","1016","GT2","Unit ID change from 2 to GT2",
"NC","Butler-Warner Generation Plant","1016","GT-1","Unit ID change from GT11 to GT-1",
"NC","Butler-Warner Generation Plant","1016","GT11","Unit ID change from GT1 to GT11",
"NC","Butler-Warner Generation Plant","1016","GT1","Unit ID change from 1 to GT1",
"OR","Port Westward","56227","PWEU1","Unit ID change from PW1 to PWEU1",
"IA","Grinnell","7137","2","Unit ID change from **2 to 2",
"WI","Sheepskin","4059","CT1B","Unit ID change from 1B to CT1B",
"WI","Sheepskin","4059","1B","Unit ID change from 2 to 1B",
"WI","Sheepskin","4059","CT1A","Unit ID change from 1A to CT1A",
"WI","Sheepskin","4059","1A","Unit ID change from 1 to 1A",
"FL","Martin","6043","PMR8D","Unit ID change from MRCT8B to PMR8D",
"FL","Martin","6043","PMR8C","Unit ID change from MRCT8A to PMR8C",
"MO","Iatan","6065","2","Unit ID change from **2 to 2",
"MS","Crossroads Energy Center (CPU)","55395","CT04","Unit ID change from CT-04 to CT04",
"MS","Crossroads Energy Center (CPU)","55395","CT03","Unit ID change from CT-03 to CT03",
"MS","Crossroads Energy Center (CPU)","55395","CT02","Unit ID change from CT-02 to CT02",
"MS","Crossroads Energy Center (CPU)","55395","CT01","Unit ID change from CT-01 to CT01",
"WI","Rock River","4057","CT3","Unit ID change from 3 to CT3",
"MT","Yellowstone Energy Limited Partnership","50931","BLR1","Unit ID change from BLRS to BLR1",
"NC","Richmond County Plant","7805","10","Unit ID change from 14 to 10",
"NC","Richmond County Plant","7805","9","Unit ID change from 13 to 9",
"SC","International Paper-Eastover Mill","52151","001","Unit ID change from 1 to 001",
"NC","Craven County Wood Energy","10525","ES5A","Unit ID change from 4A to ES5A",
"MO","John Twitty Energy Center","6195","CT2B","Unit ID change from GT2B to CT2B",
"MO","John Twitty Energy Center","6195","CT2A","Unit ID change from GT2A to CT2A",
"MO","John Twitty Energy Center","6195","CT1B","Unit ID change from GT1B to CT1B",
"MO","John Twitty Energy Center","6195","CT1A","Unit ID change from GT1A to CT1A",
"CO","Pueblo Airport Generating Station","56998","CT07","Unit ID change from CT5B to CT07",
"CO","Pueblo Airport Generating Station","56998","CT06","Unit ID change from CT5A to CT06",
"CO","Pueblo Airport Generating Station","56998","CT05","Unit ID change from CT4B to CT05",
"CO","Pueblo Airport Generating Station","56998","CT04","Unit ID change from CT4A to CT04",
"CO","Pueblo Airport Generating Station","56998","CT4A","Unit ID change from CT4 to CT4A",
"CO","Pueblo Airport Generating Station","56998","CT03","Unit ID change from CT3 to CT03",
"CO","Pueblo Airport Generating Station","56998","CT02","Unit ID change from CT2 to CT02",
"CO","Pueblo Airport Generating Station","56998","CT01","Unit ID change from CT1 to CT01",
"VT","Penny Lane Gas Turbine ","3754","CT1","Unit ID change from GT1 to CT1",
"CA","Mariposa Energy Project","57483","GT-4","Unit ID change from GT-7 to GT-4",
"MO","Lake Road","2098","GT5","Unit ID change from GT 5 to GT5",
"TN","Packaging Corporation of America","50296","017","Unit ID change from 17 to 017",
"TN","Packaging Corporation of America","50296","17","Unit ID change from C-1 to 17",
"SC","AbiBow US Inc. - Catawba Operations","2440","001","Unit ID change from 2550 to 001",
"CA","El Segundo","330","7","Unit ID change from 6 to 7",
"AZ","Santan","8068","6A","Unit ID change from 6 to 6A",
"CA","Lambie Energy Center","55626","UNIT1","Unit ID change from 1 to UNIT1",
"GA","Mitchell (GA)","727","4CA","Unit ID change from 4C to 4CA",
"GA","Mitchell (GA)","727","4BA","Unit ID change from 4B to 4BA",
"GA","Mitchell (GA)","727","4AA","Unit ID change from 4A to 4AA",
"IN","Portside Energy","55096","CT","Unit ID change from CT-1 to CT",
"IN","Portside Energy","55096","BLR2","Unit ID change from B-2 to BLR2",
"IN","Portside Energy","55096","BLR1","Unit ID change from B-1 to BLR1",
"PA","Armstrong Power, LLC","55347","4","Unit ID change from UNIT4 to 4",
"PA","Armstrong Power, LLC","55347","UNIT4","Unit ID change from 0UNIT4 to UNIT4",
"PA","Armstrong Power, LLC","55347","3","Unit ID change from UNIT3 to 3",
"PA","Armstrong Power, LLC","55347","UNIT3","Unit ID change from 0UNIT3 to UNIT3",
"PA","Armstrong Power, LLC","55347","2","Unit ID change from UNIT2 to 2",
"PA","Armstrong Power, LLC","55347","UNIT2","Unit ID change from 0UNIT2 to UNIT2",
"PA","Armstrong Power, LLC","55347","1","Unit ID change from UNIT1 to 1",
"PA","Armstrong Power, LLC","55347","UNIT1","Unit ID change from 0UNIT1 to UNIT1",
"OH","Troy Energy, LLC","55348","4","Unit ID change from UNIT4 to 4",
"OH","Troy Energy, LLC","55348","UNIT4","Unit ID change from 0UNIT4 to UNIT4",
"OH","Troy Energy, LLC","55348","3","Unit ID change from UNIT3 to 3",
"OH","Troy Energy, LLC","55348","UNIT3","Unit ID change from 0UNIT3 to UNIT3",
"OH","Troy Energy, LLC","55348","2","Unit ID change from UNIT2 to 2",
"OH","Troy Energy, LLC","55348","UNIT2","Unit ID change from 0UNIT2 to UNIT2",
"OH","Troy Energy, LLC","55348","1","Unit ID change from UNIT1 to 1",
"OH","Troy Energy, LLC","55348","UNIT1","Unit ID change from 0UNIT1 to UNIT1",
"WV","Pleasants Energy, LLC","55349","2","Unit ID change from TURB2 to 2",
"WV","Pleasants Energy, LLC","55349","1","Unit ID change from TURB1 to 1",
"IN","Sugar Creek Generating Station","55364","CT22","Unit ID change from 00CT22 to CT22",
"IN","Sugar Creek Generating Station","55364","CT21","Unit ID change from 00CT21 to CT21",
"IN","Sugar Creek Generating Station","55364","CT12","Unit ID change from 00CT12 to CT12",
"IN","Sugar Creek Generating Station","55364","CT11","Unit ID change from 00CT11 to CT11",
"IL","NRG Rockford II Energy Center","55936","U1","Unit ID change from 001 to U1",
"CA","Chula Vista Energy Center","55540","1B","Unit ID change from CT1B to 1B",
"CA","Chula Vista Energy Center","55540","1A","Unit ID change from CT1A to 1A",
"NE","Beatrice","8000","2","Unit ID change from CT2 to 2",
"NE","Beatrice","8000","1","Unit ID change from CT1 to 1",
"MN","Benson Power Biomass Plant","55867","BLR-1","Unit ID change from EU-001 to BLR-1",
"FL","Oleander Power Project","55286","O-5","Unit ID change from OG-5 to O-5",
"FL","Oleander Power Project","55286","OG-5","Unit ID change from O-5 to OG-5",
"FL","Oleander Power Project","55286","O-4","Unit ID change from OG-4 to O-4",
"FL","Oleander Power Project","55286","OG-4","Unit ID change from O-4 to OG-4",
"FL","Oleander Power Project","55286","O-3","Unit ID change from OG-3 to O-3",
"FL","Oleander Power Project","55286","OG-3","Unit ID change from O-3 to OG-3",
"FL","Oleander Power Project","55286","O-2","Unit ID change from OG-2 to O-2",
"FL","Oleander Power Project","55286","OG-2","Unit ID change from O-2 to OG-2",
"FL","Oleander Power Project","55286","O-1","Unit ID change from OG-1 to O-1",
"FL","Oleander Power Project","55286","OG-1","Unit ID change from O-1 to OG-1",
"NV","Walter M. Higgins III Generating Station","55687","BHG2","Unit ID change from BHN2 to BHG2",
"NV","Walter M. Higgins III Generating Station","55687","BHG1","Unit ID change from BHN1 to BHG1",
"UT","Nebo Power Station","56177","U1","Unit ID change from 1 to U1",
"NY","Astoria Generating Station","8906","42RH","Unit ID change from 41SH to 42RH",
"NY","Astoria Generating Station","8906","32SH","Unit ID change from 31RH to 32SH",
